,time,normal_time,partition,prbUsage,sd,sst
1841,2024-09-23T01:34:08Z,01:34:08,11,99.092235,16777210,1
1842,2024-09-23T01:34:13Z,01:34:13,40,60.744788,0,1
1843,2024-09-23T01:34:13Z,01:34:13,11,96.128362,16777210,1
1844,2024-09-23T01:34:18Z,01:34:18,40,61.887989,0,1
1845,2024-09-23T01:34:18Z,01:34:18,11,98.300988,16777210,1
1846,2024-09-23T01:34:23Z,01:34:23,40,31.65875,0,1
1847,2024-09-23T01:34:23Z,01:34:23,11,94.090686,16777210,1
1848,2024-09-23T01:34:28Z,01:34:28,40,7.875833,0,1
1849,2024-09-23T01:34:28Z,01:34:28,11,93.597889,16777210,1
1850,2024-09-23T01:34:33Z,01:34:33,40,7.4375,0,1
1851,2024-09-23T01:34:33Z,01:34:33,11,93.258352,16777210,1
1852,2024-09-23T01:34:38Z,01:34:38,40,4.772083,0,1
1853,2024-09-23T01:34:38Z,01:34:38,11,94.564721,16777210,1
1854,2024-09-23T01:34:43Z,01:34:43,40,2.7125,0,1
1855,2024-09-23T01:34:43Z,01:34:43,11,97.158097,16777210,1
1856,2024-09-23T01:34:48Z,01:34:48,40,0.990417,0,1
1857,2024-09-23T01:34:48Z,01:34:48,11,98.237744,16777210,1
1858,2024-09-23T01:34:53Z,01:34:53,40,2.13375,0,1
1859,2024-09-23T01:34:53Z,01:34:53,11,98.381523,16777210,1
1860,2024-09-23T01:34:58Z,01:34:58,40,5.804583,0,1
1861,2024-09-23T01:34:58Z,01:34:58,11,96.407576,16777210,1
1862,2024-09-23T01:35:03Z,01:35:03,40,14.853333,0,1
1863,2024-09-23T01:35:03Z,01:35:03,11,1.989394,16777210,1
1864,2024-09-23T01:35:08Z,01:35:08,40,30.305417,0,1
1865,2024-09-23T01:35:08Z,01:35:08,11,81.95303,16777210,1
1866,2024-09-23T01:35:13Z,01:35:13,40,53.600833,0,1
1867,2024-09-23T01:35:13Z,01:35:13,11,95.95772,16777210,1
1868,2024-09-23T01:35:18Z,01:35:18,40,61.681957,0,1
1869,2024-09-23T01:35:18Z,01:35:18,11,94.647869,16777210,1
1870,2024-09-23T01:35:23Z,01:35:23,40,62.855872,0,1
1871,2024-09-23T01:35:23Z,01:35:23,11,97.421668,16777210,1
1872,2024-09-23T01:35:28Z,01:35:28,40,60.980288,0,1
1873,2024-09-23T01:35:28Z,01:35:28,11,98.535611,16777210,1
1874,2024-09-23T01:35:33Z,01:35:33,40,61.515231,0,1
1875,2024-09-23T01:35:33Z,01:35:33,11,98.019083,16777210,1
1876,2024-09-23T01:35:38Z,01:35:38,40,65.217898,0,1
1877,2024-09-23T01:35:38Z,01:35:38,11,98.925263,16777210,1
1878,2024-09-23T01:35:43Z,01:35:43,40,60.628274,0,1
1879,2024-09-23T01:35:43Z,01:35:43,11,94.981881,16777210,1
1880,2024-09-23T01:35:48Z,01:35:48,40,37.060833,0,1
1881,2024-09-23T01:35:48Z,01:35:48,11,94.529173,16777210,1
1882,2024-09-23T01:35:53Z,01:35:53,40,7.52875,0,1
1883,2024-09-23T01:35:53Z,01:35:53,11,93.542439,16777210,1
1884,2024-09-23T01:35:58Z,01:35:58,40,7.944167,0,1
1885,2024-09-23T01:35:58Z,01:35:58,11,96.155659,16777210,1
1886,2024-09-23T01:36:03Z,01:36:03,40,5.145,0,1
1887,2024-09-23T01:36:03Z,01:36:03,11,97.786073,16777210,1
1888,2024-09-23T01:36:08Z,01:36:08,40,3.01,0,1
1889,2024-09-23T01:36:08Z,01:36:08,11,97.90467,16777210,1
1890,2024-09-23T01:36:13Z,01:36:13,40,3.617083,0,1
1891,2024-09-23T01:36:13Z,01:36:13,11,98.92424,16777210,1
1892,2024-09-23T01:36:18Z,01:36:18,40,7.966667,0,1
1893,2024-09-23T01:36:18Z,01:36:18,11,98.866094,16777210,1
1894,2024-09-23T01:36:23Z,01:36:23,40,20.90625,0,1
1895,2024-09-23T01:36:23Z,01:36:23,11,11.657576,16777210,1
1896,2024-09-23T01:36:28Z,01:36:28,40,16.779167,0,1
1897,2024-09-23T01:36:28Z,01:36:28,11,3.807576,16777210,1
1898,2024-09-23T01:36:33Z,01:36:33,40,24.695,0,1
1899,2024-09-23T01:36:33Z,01:36:33,11,71.977273,16777210,1
1900,2024-09-23T01:36:38Z,01:36:38,40,50.662083,0,1
1901,2024-09-23T01:36:38Z,01:36:38,11,94.88771,16777210,1
1902,2024-09-23T01:36:43Z,01:36:43,40,61.124439,0,1
1903,2024-09-23T01:36:43Z,01:36:43,11,94.882951,16777210,1
1904,2024-09-23T01:36:48Z,01:36:48,40,60.626558,0,1
1905,2024-09-23T01:36:48Z,01:36:48,11,96.234189,16777210,1
1906,2024-09-23T01:36:53Z,01:36:53,40,66.470511,0,1
1907,2024-09-23T01:36:53Z,01:36:53,11,97.392379,16777210,1
1908,2024-09-23T01:36:58Z,01:36:58,40,57.560833,0,1
1909,2024-09-23T01:36:58Z,01:36:58,11,95.541119,16777210,1
1910,2024-09-23T01:37:03Z,01:37:03,40,43.164167,0,1
1911,2024-09-23T01:37:03Z,01:37:03,11,88.774,16777210,1
1912,2024-09-23T01:37:08Z,01:37:08,40,39.572917,0,1
1913,2024-09-23T01:37:08Z,01:37:08,11,93.858241,16777210,1
1914,2024-09-23T01:37:13Z,01:37:13,40,37.0075,0,1
1915,2024-09-23T01:37:13Z,01:37:13,11,93.351389,16777210,1
1916,2024-09-23T01:37:18Z,01:37:18,40,38.128333,0,1
1917,2024-09-23T01:37:18Z,01:37:18,11,95.336299,16777210,1
1918,2024-09-23T01:37:23Z,01:37:23,40,6.479167,0,1
1919,2024-09-23T01:37:23Z,01:37:23,11,97.165889,16777210,1
1920,2024-09-23T01:37:28Z,01:37:28,40,8.35,0,1
1921,2024-09-23T01:37:28Z,01:37:28,11,97.83178,16777210,1
1922,2024-09-23T01:37:33Z,01:37:33,40,12.810833,0,1
1923,2024-09-23T01:37:33Z,01:37:33,11,98.180291,16777210,1
1924,2024-09-23T01:37:38Z,01:37:38,40,17.733333,0,1
1925,2024-09-23T01:37:38Z,01:37:38,11,14.680303,16777210,1
1926,2024-09-23T01:37:43Z,01:37:43,40,17.28125,0,1
1927,2024-09-23T01:37:43Z,01:37:43,11,29.886364,16777210,1
1928,2024-09-23T01:37:48Z,01:37:48,40,25.398333,0,1
1929,2024-09-23T01:37:48Z,01:37:48,11,98.897995,16777210,1
1930,2024-09-23T01:37:53Z,01:37:53,40,23.21,0,1
1931,2024-09-23T01:37:53Z,01:37:53,11,76.518182,16777210,1
1932,2024-09-23T01:37:58Z,01:37:58,40,36.155417,0,1
1933,2024-09-23T01:37:58Z,01:37:58,11,96.125037,16777210,1
1934,2024-09-23T01:38:03Z,01:38:03,40,59.251667,0,1
1935,2024-09-23T01:38:03Z,01:38:03,11,96.708088,16777210,1
1936,2024-09-23T01:38:08Z,01:38:08,40,70.303419,0,1
1937,2024-09-23T01:38:08Z,01:38:08,11,98.709427,16777210,1
1938,2024-09-23T01:38:13Z,01:38:13,40,68.410994,0,1
1939,2024-09-23T01:38:13Z,01:38:13,11,98.695395,16777210,1
1940,2024-09-23T01:38:18Z,01:38:18,40,43.584167,0,1
1941,2024-09-23T01:38:18Z,01:38:18,11,95.644653,16777210,1
1942,2024-09-23T01:38:23Z,01:38:23,40,47.87125,0,1
